Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_57_924.jpg;0;0;1;0;99.66999;85.589;0.0002402474;49.14211;-2.419288E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_57_962.jpg;0;0;0;0;99.66999;85.589;0.0002402474;49.14211;-2.419288E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_004.jpg;0;0;0;0;99.66999;85.589;0.0002402474;49.14211;-2.419288E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_043.jpg;0;0;0;0;99.66999;85.589;0.0002402474;49.14211;-2.419288E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_085.jpg;0;0;0;0;99.66999;85.589;0.0002402474;49.14211;-2.419288E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_126.jpg;0;0;0;0;99.66999;85.589;0.0002401916;49.14211;-2.269276E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_168.jpg;0;0;0;0;99.66999;85.589;0.0002401543;49.14211;-2.16927E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_212.jpg;1.558134;0;0;0;99.66999;85.589;0.0002403898;49.28521;-2.039216E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_254.jpg;3.851046;0;0;0;99.66999;85.589;0.000240598;49.65271;-2.787649E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_297.jpg;5.989206;0;0;0;99.66999;85.589;0.0002409096;50.29362;-4.297444E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_339.jpg;6.674814;0;0;0;99.66999;85.589;0.0002409917;51.09463;-7.014841E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_383.jpg;4.219752;0;0;0;99.66999;85.589;0.0002401779;51.75043;-8.378415E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_425.jpg;1.866144;0;0;0;99.66999;85.589;0.0002398728;52.10344;-8.931696E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_467.jpg;-0.3609961;0;0;0;99.66999;85.589;0.0002402369;52.17248;-7.990664E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_508.jpg;-1.06785;0;0;0;99.66999;85.589;0.0002405189;52.04437;-6.725272E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_549.jpg;0;0;0;0;99.66999;85.589;0.0002404148;52.04437;-6.422492E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_593.jpg;0;0;0;0;99.66999;85.589;0.000240276;52.04437;-6.018814E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_635.jpg;0;0;0;0;99.66999;85.589;0.0002401371;52.04437;-5.615129E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_677.jpg;0;0;0;0;99.66999;85.589;0.0002398106;52.04437;-4.993852E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_719.jpg;0;0;0;0;99.66999;85.589;0.0002393311;52.04437;-4.255906E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_760.jpg;0;0;0;0;99.66999;85.589;0.0002388343;52.04437;-3.467492E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_801.jpg;-0.108768;0;0;0;99.66999;85.589;0.0002386891;52.04437;-2.388869E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_843.jpg;-2.24679;0;0;0;99.66999;85.589;0.0002384625;51.90369;-6.507979E-07
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_884.jpg;-4.236678;0;0;0;99.66999;85.589;0.0002384475;51.51355;2.020632E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_927.jpg;-6.545802;0;0;0;99.66999;85.589;0.0002374415;50.47222;7.635024E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_58_970.jpg;-8.750352;0;0;0;99.66999;85.589;0.0002372145;49.46988;1.204483E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_010.jpg;-11.12037;0;0;0;99.66999;85.589;0.0002375184;48.19667;1.690876E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_053.jpg;-10.32595;0;0;0;99.66999;85.589;0.0002370692;46.90988;2.188786E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_093.jpg;-7.768958;0;0;0;99.66999;85.589;0.0002372023;45.87587;2.49701E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_135.jpg;-5.207714;0;0;0;99.66999;85.589;0.0002364621;45.1286;2.651098E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_179.jpg;-2.762719;0;0;0;99.66999;85.589;0.0002352359;44.68845;2.648784E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_220.jpg;-0.2480233;0;0;0;99.66999;85.589;0.0002349504;44.51044;2.513086E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_262.jpg;0;0;0;0;99.66999;85.589;0.0002347914;44.51044;2.27498E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_304.jpg;0;0;0;0;99.66999;85.589;0.0002345752;44.51044;2.022905E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_347.jpg;0;0;0;0;99.66999;85.589;0.0002343986;44.51044;1.650981E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_389.jpg;0;0;0;0;99.66999;85.589;0.0002344158;44.51044;1.426049E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_433.jpg;0;0;0;0;99.66999;85.589;0.0002345681;44.51044;1.224131E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_473.jpg;0;0;0;0;99.66999;85.589;0.0002347615;44.51044;1.012372E-05
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_514.jpg;0;0;0;0;99.66999;85.589;0.0002349962;44.51044;7.907692E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_558.jpg;0;0;0;0;99.66999;85.589;0.0002352515;44.51044;5.642461E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_600.jpg;0;0;0;0;99.66999;85.589;0.0002352069;44.51044;3.540765E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_644.jpg;0;0;0;0;99.66999;85.589;0.0002351622;44.51044;1.439069E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_686.jpg;0;0;0;0;99.66999;85.589;0.0002349095;44.51044;-1.270577E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_731.jpg;0;0;0;0;99.66999;85.589;0.000234741;44.51044;-3.07701E-06
C:\Mark's Python files\ME5920\HW3_Gardocki\DefinedTurns\IMG\robocam_2025_04_06_21_54_59_774.jpg;0;0;0;0;99.66999;85.589;0.0002345726;44.51044;-4.883437E-06
