Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_374.jpg;0;0;1;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_384.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_422.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_486.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_556.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_626.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_697.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_768.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_839.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_910.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_46_981.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_054.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_124.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_194.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_267.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_339.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_410.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_483.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_552.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_623.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_694.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_734.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_804.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_875.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_47_945.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_017.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_087.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_159.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_228.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_301.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_371.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_442.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_511.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_582.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_653.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_722.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_793.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_833.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_900.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_48_970.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_49_041.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_49_112.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_49_184.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Mark's Python files\ME5920\IMG\robocam_2025_04_03_22_42_49_255.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
